k,question,predicted_answer,reference_answer,LLMJudge_score,BERT_prec,BERT_rec,BERT_f1
6,¿Qué tipo de enfoque innovador propone la Licenciatura en Finanzas en el mundo de los negocios?,"La Licenciatura en Finanzas de la Universidad de San Andrés propone un enfoque innovador que combina formación interdisciplinaria, pensamiento analítico y un fuerte componente práctico. Este enfoque busca preparar a los estudiantes para responder a los desafíos actuales del mercado laboral, centrándose en la enseñanza cuantitativa y aplicada. Aquí destacan varios aspectos clave:

1. **Interdisciplinariedad**: La carrera integra conceptos de economía, ingeniería y administración, formando profesionales con una visión integral que puedan abordar problemas complejos del mundo de los negocios.

2. **Formación Digital y Tecnológica**: Se ofrece formación en herramientas digitales y tecnológicas, lo que permite a los estudiantes liderar la transformación de la disciplina en empresas, organizaciones y gobiernos.

3. **Experiential Learning**: Se enfatiza el aprendizaje práctico a través del análisis de casos reales y la resolución de problemas concretos, fomentando el desarrollo de habilidades prácticas fundamentales para el ejercicio profesional.

4. **Perspectiva Global**: Los estudiantes pueden acceder a redes de negocios locales e internacionales, así como a certificaciones profesionales que les permitirán destacarse en el ámbito global.

5. **Desarrollo de Competencias Diversas**: La carrera prepara a los graduados para roles en diversos campos como mercados de capitales, banca de inversión, gestión de riesgos y asesoramiento en entidades financieras.

Este enfoque integral asegura que los graduados no solo tengan conocimientos teóricos, sino que también posean las habilidades prácticas y analíticas necesarias para destacar en un entorno empresarial en constante evolución.","La Licenciatura en Finanzas propone un **enfoque innovador de los negocios** que responde a los desafíos que buscan los jóvenes en esta área y a la demanda del mercado laboral, valorando la formación interdisciplinaria .",1.0,0.6656539440155029,0.8148253560066223,0.7327244877815247
6,¿Qué habilidades interdisciplinarias se adquieren al estudiar Finanzas?,"Al estudiar la Licenciatura en Finanzas en la Universidad de San Andrés, se adquieren diversas habilidades interdisciplinarias que son fundamentales para desenvolverse en el mundo de los negocios. Algunas de estas habilidades incluyen:

1. **Pensamiento analítico**: Los estudiantes desarrollan la capacidad de analizar datos y evaluar información de manera crítica, lo cual es esencial para la toma de decisiones financieras.

2. **Resolución de problemas**: Se fomenta un enfoque pragmático para abordar y resolver problemas complejos en contextos empresariales.

3. **Conocimientos de economía**: La formación incluye principios económicos que permiten comprender el funcionamiento de los mercados y las dinámicas financieras.

4. **Habilidades cuantitativas**: Se adquieren competencias en matemáticas y estadísticas, útiles para realizar análisis financieros y evaluación de proyectos.

5. **Gestión de riesgos**: Los estudiantes aprenden a identificar y mitigar riesgos financieros, lo cual es crucial en cualquier entidad o empresa.

6. **Habilidades tecnológicas**: El programa incorpora herramientas digitales y tecnológicas que son cada vez más relevantes en el campo de las finanzas.

7. **Capacidades de gestión**: Se entrena a los graduados para liderar y gestionar recursos financieros en distintos contextos, desde empresas hasta organismos gubernamentales.

8. **Perspectiva global**: Gracias a actividades como intercambios y certificaciones internacionales, los estudiantes obtienen una visión amplia que les permite operar en contextos globales.

En resumen, la carrera en Finanzas promueve una formación integral que combina aspectos analíticos, prácticos y tecnológicos, preparando a los estudiantes para enfrentar desafíos en el entorno financiero moderno.","La carrera de Finanzas combina el pensamiento analítico con el pragmatismo, permitiendo adquirir la **capacidad metódica del economista**, la **destreza del ingeniero para resolver problemas** y la **habilidad del administrador de empresas para gestionar los negocios** .",1.0,0.6523420214653015,0.7419564127922058,0.6942693591117859
6,¿Qué certificaciones internacionales de idoneidad profesional se pueden obtener a través del Thistle Program en la carrera de Finanzas?,"En la carrera de Finanzas a través del Thistle Program, se pueden obtener las siguientes certificaciones internacionales de idoneidad profesional:

1. **Certificación CFA Level I** - Este examen se ofrece en el primer semestre del quinto año.
2. **Certificación de idoneidad ROFEX / MATBA** - Se realiza en el cuarto año.

Estas certificaciones están diseñadas para potenciar la formación profesional de los estudiantes en el ámbito financiero a nivel internacional. Si necesitas más información sobre el Thistle Program o sobre otras carreras, no dudes en preguntar.","Con el Thistle Program, los estudiantes de Finanzas pueden acceder a certificaciones internacionales de idoneidad profesional como **ROFEX / MATBA** y la **Certificación CFA Lvl I** [3, 4].",1.0,0.7397688627243042,0.8188241720199585,0.7772915363311768
6,¿Qué materias específicas de Finanzas se cursan en el segundo año de la Licenciatura?,"En el segundo año de la Licenciatura en Finanzas, se cursan las siguientes materias específicas:

### Primer Semestre:
- Matemática II
- Electiva de Filosofía
- Programación Aplicada a Finanzas
- Estadística I
- Escritura y Oratoria

### Segundo Semestre:
- Finanzas II
- Macroeconomía I
- Microeconomía I
- Matemática III

Estas materias están diseñadas para proporcionar una sólida base en conceptos y herramientas financieras necesarias para la práctica profesional. Si necesitas más información sobre alguna de estas materias, no dudes en preguntar.","En el segundo año de la Licenciatura en Finanzas, se cursan materias como **Finanzas II**, **Macroeconomía I**, **Microeconomía I** y **Matemática III** .",1.0,0.7222341299057007,0.8117043375968933,0.7643600106239319
6,¿En qué áreas pueden desempeñarse los graduados de Finanzas una vez finalizada la carrera?,"Los graduados de la Licenciatura en Finanzas de la Universidad de San Andrés pueden desempeñarse en diversas áreas, tales como:

1. **Mercados de Capitales**
2. **Finanzas Corporativas**
3. **Banca de Inversión**
4. **Gestión de Riesgos**
5. **Entidades Financieras**

Además, pueden hacerse competentes en evaluaciones de proyectos, planificación financiera, toma de decisiones sobre financiamiento corporativo, armado de carteras de inversión, administración del riesgo, y estructuración de negocios en banca de inversión.

Los principales empleadores suelen ser consultoras económicas, family offices, fondos de inversión, sociedades de bolsa, organismos del sector público y departamentos de administración y finanzas en empresas y bancos.","Los graduados de Finanzas pueden desempeñarse en áreas como **Mercados de Capitales**, **Finanzas Corporativas**, **Banca de Inversión**, **Gestión de Riesgos** y **Entidades Financieras** .",1.0,0.7745857238769531,0.8908224105834961,0.8286476731300354
6,¿Qué tipo de estudiantes es ideal para la Licenciatura en Comunicación?,"La Licenciatura en Comunicación en la Universidad de San Andrés está especialmente diseñada para estudiantes que son:

- **Creativos, observadores y curiosos**: Aquellos interesados en las nuevas tendencias tecnológicas y comunicacionales, que desean influir y persuadir audiencias mediante contenidos innovadores.
- **Buscan una formación integral e interdisciplinaria**: Este programa ofrece un enfoque que desarrolla el pensamiento crítico y estratégico, con una sólida base teórica y un fuerte componente práctico.

Los egresados pueden desempeñarse en diversos roles, como periodistas, creadores de contenidos, comunicadores corporativos, expertos en marketing, gestores culturales e investigadores en comunicación y cultura.","La Licenciatura en Comunicación es para estudiantes **creativos, observadores y curiosos por las nuevas tendencias tecnológicas y comunicacionales**, que aspiran a influir y persuadir audiencias con contenidos innovadores .",1.0,0.7445810437202454,0.8732772469520569,0.8038104772567749
6,¿Qué tipo de talleres prácticos se ofrecen en la carrera de Comunicación?,"En la carrera de Comunicación de la Universidad de San Andrés, se ofrecen diversos talleres prácticos que permiten a los estudiantes aplicar sus conocimientos en diferentes áreas de la comunicación. Algunos de estos talleres son:

1. **Taller de Producción en Audio**: Enfocado en la creación de propuestas sonoras como podcasts, programas de radio y entrevistas periodísticas.

2. **Taller de Televisión**: Proporciona herramientas para el desarrollo de proyectos audiovisuales y fundamentos de producción para medios televisivos y digitales.

3. **Producción Audiovisual**: Permite a los estudiantes filmar proyectos con cámaras profesionales y trabajar en equipos de edición de alta tecnología.

4. **Escrituras Periodísticas**: Taller que se centra en las técnicas de redacción y narración en el contexto periodístico.

5. **Introducción al Lenguaje Fotográfico**: Aborda las bases de la fotografía como herramienta de comunicación.

6. **Comunicacion en Papel y Pantalla**: Taller orientado a las técnicas y teorías aplicadas a diferentes formatos de comunicación, tanto impresos como digitales.

Estos talleres están diseñados para alinearse con las últimas tendencias en el campo de la comunicación y preparar a los estudiantes para enfrentarse al mundo profesional con un enfoque práctico.","A lo largo de la carrera de Comunicación se ofrecen talleres prácticos como **Taller de Producción en Audio**, **Diseño para Comunicación**, **Producción Audiovisual**, **Taller de Televisión**, **Escrituras Periodísticas**, e **Introducción al Lenguaje Fotográfico**, entre otros .",1.0,0.6933942437171936,0.8284127116203308,0.754913866519928
6,¿Qué equipamiento técnico específico tiene el Taller de Producción en Audio en la carrera de Comunicación?,"El Taller de Producción en Audio de la carrera de Comunicación en la Universidad de San Andrés está diseñado para la práctica profesional de los estudiantes y cuenta con los siguientes equipamientos técnicos específicos:

- **Consola de sonido de última generación**: Permite la mezcla sonora de diversas fuentes y su ecualización.
- **Micrófonos de condensador de alta sensibilidad**: Utilizados para la captura de audio en diferentes propuestas sonoras.

Este taller habilita a los estudiantes a desarrollar trabajos como podcasts, programas de radio, publicidades radiales, entrevistas periodísticas y radioteatros, entre otros.",El Taller de Producción en Audio cuenta con una **consola de sonido de última generación** y **micrófonos de condensador de alta sensibilidad** .,1.0,0.6992816925048828,0.8541291952133179,0.7689877152442932
6,¿Qué materias optativas específicas pueden elegir los estudiantes de Comunicación para poner en práctica sus conocimientos en las últimas tendencias?,"En la Licenciatura en Comunicación de la Universidad de San Andrés, los estudiantes tienen la opción de elegir materias optativas que les permiten poner en práctica sus conocimientos y explorar las últimas tendencias en el campo de la comunicación. Algunas de las materias específicas que abordan estas tendencias son:

1. **Comunicaciones Digital**: Centrada en las nuevas plataformas y formas de comunicación online.
2. **Marketing para Comunicación**: Enfocado en estrategias de marketing actuales y su relación con la comunicación.
3. **Taller de Producción en Audio**: Permite a los estudiantes experimentar con la producción de contenido sonoro, relevante en un era de podcasting y contenido multimedia.
4. **Escrituras Periodísticas**: Ofrece herramientas modernas para la redacción en medios digitales.
5. **Taller de Televisión**: Aborda la producción audiovisual y su adaptación a plataformas actuales.
6. **Diseño para Comunicación**: Explora el uso de diseño gráfico en la comunicación contemporánea.
7. **Proyecto Audiovisual**: Brinda la oportunidad de desarrollar y realizar proyectos audiovisuales innovadores.

Estas materias no solo reflejan una formación integral, sino que también están diseñadas para preparar a los estudiantes para los desafíos actuales en el ámbito de la comunicación, fomentando la creatividad y el uso de tecnología emergente.","Los estudiantes de Comunicación pueden optar por materias electivas como **Comunicación Digital**, **Marketing para Comunicación**, **Taller de Producción en Audio**, **Escrituras Periodísticas**, **Taller de Televisión**, **Diseño para Comunicación**, **Comunicación Política**, **Introducción al Lenguaje Fotográfico**, **Proyecto Audiovisual** y **Producción Audiovisual** .",1.0,0.6720402240753174,0.7980949878692627,0.7296633720397949
6,¿En qué roles específicos pueden desempeñarse los graduados de la Licenciatura en Comunicación?,"Los graduados de la Licenciatura en Comunicación pueden desempeñarse en una variedad de roles. Algunos de los específicos incluyen:

- **Periodista** en medios tradicionales y digitales.
- **Marketing Specialist**.
- **Asesor/a** en empresas, organizaciones y en el gobierno.
- **Investigador/a** en comunicación y cultura.
- **Creador/a de contenidos** multiplataforma.
- **Publicista**, ya sea de manera independiente o en agencias.
- **Director/a** de áreas de comunicación, marketing e institucional.

Además, estas profesiones se pueden desarrollar en diversos ámbitos, como el periodismo, la televisión, la radio, el marketing, empresas, start-ups, agencias de comunicación estratégica, consultoría independiente, ONG, y en la industria cultural, entre otros.","Los graduados pueden desempeñarse como **periodistas en medios tradicionales y digitales**, **marketing specialist**, **asesor/a en empresas, organizaciones y de gobierno**, **creador/a de contenidos multiplataforma**, entre otros .",1.0,0.7516025304794312,0.8553160429000854,0.8001123666763306
